  time  amplitude  omega  amp_cos  amp_sin
   8.96564E+02   2.88435E-04   3.00906E-01   9.89567E-05  -2.70929E-04
   9.00347E+02   2.42957E-04   2.94734E-01   2.41603E-04  -2.56161E-05
   9.04130E+02   2.13560E-04   3.23248E-01   9.35810E-05   1.91965E-04
   9.07913E+02   1.87065E-04   2.99758E-01  -1.17681E-04   1.45411E-04
   9.11696E+02   1.58732E-04   3.22763E-01  -1.50136E-04  -5.15256E-05
   9.15479E+02   1.29982E-04   3.21242E-01  -3.24247E-06  -1.29941E-04
   9.19262E+02   1.19829E-04   3.61506E-01   1.16723E-04  -2.71058E-05
   9.23045E+02   1.27749E-04   3.41512E-01   6.20342E-05   1.11676E-04
   9.26828E+02   1.24705E-04   3.65644E-01  -9.58107E-05   7.98228E-05
   9.30611E+02   1.42590E-04   3.80697E-01  -1.04763E-04  -9.67290E-05
   9.34394E+02   1.68063E-04   3.12939E-01   5.89827E-05  -1.57373E-04
   9.38177E+02   1.62246E-04   3.30762E-01   1.62123E-04   6.33529E-06
   9.41960E+02   1.82665E-04   3.34287E-01   4.82189E-05   1.76186E-04
